"","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene","biotype"
"ENSG00000273706",377.617030561965,-7.39059969051909,0.206319686625445,2.6335452862808e-283,7.34048077645048e-279,"LHX1","protein_coding"
"ENSG00000120675",1699.75198882385,5.82091110935312,0.182726553388294,6.13377805714455e-224,8.5483397893395e-220,"DNAJC15","protein_coding"
"ENSG00000096060",740.952412803876,8.24231712058653,0.259413142945442,8.05132930192177e-223,7.48049005441552e-219,"FKBP5","protein_coding"
"ENSG00000165152",1135.40196895436,-7.79289650116745,0.249235324545971,6.60341833314142e-215,4.60142697999127e-211,"PGAP4","protein_coding"
"ENSG00000135821",406.535018891,-4.48980356228631,0.183034472435649,6.04726585050266e-134,3.37110882102121e-130,"GLUL","protein_coding"
"ENSG00000099139",199.000456006507,-6.472082422013,0.268225803530044,3.88783886238363e-129,1.80609554352032e-125,"PCSK5","protein_coding"
"ENSG00000287151",113.672131450714,6.58910988119797,0.289676232587092,7.91826053422964e-115,3.15293822672261e-111,"C2orf27A","lncRNA"
"ENSG00000198113",1660.06279876687,2.9251189381665,0.146182405286824,2.56856294698308e-90,8.94919437765744e-87,"TOR4A","protein_coding"
"ENSG00000278535",1892.13843845268,-1.35360859493244,0.0701573073204899,5.54332356201113e-84,1.71676730715485e-80,"DHRS11","protein_coding"
"ENSG00000087095",2597.27912627659,-1.31221798401314,0.0682734951018573,2.45145331746188e-83,6.83293583176149e-80,"NLK","protein_coding"
"ENSG00000132591",5648.90985877519,-1.20194963762658,0.0653420915796795,1.26059511563768e-76,2.99428726681502e-73,"ERAL1","protein_coding"
"ENSG00000176746",126.804209439155,5.76276672372958,0.313941875412286,1.2891130198321e-76,2.99428726681502e-73,"MAGEB6","protein_coding"
"ENSG00000267123",154.359742872589,4.60213660242939,0.25121298387743,3.43839047199058e-76,7.37217366352258e-73,"SCAT1","lncRNA"
"ENSG00000250697",34.6048525020207,-4.34354505207463,0.240463117041937,1.13849266032229e-73,2.26665756579738e-70,"AC010343.3","lncRNA"
"ENSG00000136928",1248.76981815048,-10.5174015020936,0.617454982591432,1.11432669533011e-66,2.07064186526241e-63,"GABBR2","protein_coding"
"ENSG00000198242",54406.4056583842,-1.89952960796453,0.112583901624049,4.07723012007676e-65,7.10278969605622e-62,"RPL23A","protein_coding"
"ENSG00000151025",485.031248445379,2.08215411486759,0.123597645052576,7.08286410828684e-65,1.16129806641341e-61,"GPR158","protein_coding"
"ENSG00000288658",218.461471159639,-1.69652801133487,0.100746146313871,1.09865719286975e-64,1.7012706631588e-61,"AC010980.1","protein_coding"
"ENSG00000109084",7477.28461803441,-1.79414291760704,0.10756369778778,1.74758093548295e-63,2.56370123235349e-60,"TMEM97","protein_coding"
"ENSG00000115596",362.747715761439,-2.93471843658533,0.177808601249647,2.09362381365146e-62,2.91777882789536e-59,"WNT6","protein_coding"
"ENSG00000007202",25899.1989611841,-1.55974803986379,0.0945884449398738,3.43977475324267e-62,4.56556389033967e-59,"KIAA0100","protein_coding"
"ENSG00000268089",112.895548740068,9.89370286109,0.82551420006368,1.88737439340141e-61,2.39121756669443e-58,"GABRQ","protein_coding"
"ENSG00000158089",2089.11116294539,-6.01880090563944,0.381603096157148,2.92760568238662e-57,3.54787622544183e-54,"GALNT14","protein_coding"
"ENSG00000264577",371.338564262922,-2.89467997942326,0.183698251931331,4.16029382652457e-57,4.83166124277997e-54,"AC010761.1","lncRNA"
"ENSG00000109113",20834.2921076022,-1.93232665585406,0.12294668561855,6.5488041842124e-57,7.30139276106209e-54,"RAB34","protein_coding"
"ENSG00000074527",565.245173151247,-1.5745535292378,0.101119186680328,9.68669179822011e-56,1.03845061727611e-52,"NTN4","protein_coding"
"ENSG00000236449",81.6341101015468,6.61913706093191,0.428803017953128,1.14446552801164e-54,1.18146991341735e-51,"AC010894.2","lncRNA"
"ENSG00000152932",216.532563849923,7.631816804142,0.496026792926358,1.42635180398459e-54,1.4198822797308e-51,"RAB3C","protein_coding"
