"","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene","biotype"
"ENSG00000011201",71.0204645335503,-6.13685681069926,0.300532575325479,8.87096431360495e-93,2.45122485913532e-88,"ANOS1","protein_coding"
"ENSG00000170425",315.702555309127,-3.08995920652164,0.155444572798258,2.67783491782375e-89,3.69969672246529e-85,"ADORA2B","protein_coding"
"ENSG00000270170",3307.99198156329,0.932821739102821,0.0477027618582193,6.224202755388e-86,5.7329056845627e-82,"NCBP2AS2","protein_coding"
"ENSG00000218336",2031.71491687605,4.09218504147056,0.228975239399389,1.171786944341e-72,8.09470421150764e-69,"TENM3","protein_coding"
"ENSG00000151150",920.695588025446,2.68456461461253,0.162143651025794,9.40991769130339e-63,5.2002969129219e-59,"ANK3","protein_coding"
"ENSG00000145431",500.294337601552,3.95409525005786,0.251231384998572,4.54477266287106e-57,2.09301930367422e-53,"PDGFC","protein_coding"
"ENSG00000170579",298.830454118211,-2.32891409773517,0.15811549319493,2.65190147627584e-50,1.04681916560649e-46,"DLGAP1","protein_coding"
"ENSG00000106278",529.907081652655,-1.65487342498166,0.114792362408847,3.28833761432582e-48,1.13579181198814e-44,"PTPRZ1","protein_coding"
"ENSG00000155849",61.7669647264462,3.62878197791932,0.262188959695768,1.1478839400137e-44,3.52425878116208e-41,"ELMO1","protein_coding"
"ENSG00000109738",131.10403806341,8.50006339330823,0.618511508419093,2.33437825006995e-43,6.45035398059328e-40,"GLRB","protein_coding"
"ENSG00000198807",611.420991228451,-0.653225382447598,0.0479552324110992,8.80494979773925e-43,2.2118033891921e-39,"PAX9","protein_coding"
"ENSG00000162409",1453.07258112609,1.61161068390284,0.121398161221798,1.85655485069841e-41,4.27502696954153e-38,"PRKAA2","protein_coding"
"ENSG00000103489",1749.70951667066,-4.17373007685003,0.315345542866964,2.87651884269619e-41,6.11415143549086e-38,"XYLT1","protein_coding"
"ENSG00000286544",104.100668182238,3.82122888878083,0.28978382467181,5.63875874585794e-41,1.11292986903962e-37,"AL359502.2","lncRNA"
"ENSG00000167355",124.071092909955,4.02619583376998,0.30698097876623,1.39616359211828e-40,2.57191949182748e-37,"OR51B5","protein_coding"
"ENSG00000131459",437.784727742794,-1.87431609817631,0.143497378702201,3.77415719579812e-40,6.51796947714334e-37,"GFPT2","protein_coding"
"ENSG00000186472",19079.3212541046,2.9641232101073,0.232282387689991,1.77188418189964e-38,2.88004139495593e-35,"PCLO","protein_coding"
"ENSG00000177822",417.007634530595,2.54525636784655,0.19992032784422,2.66329546748404e-38,4.08845446430661e-35,"TENM3-AS1","lncRNA"
"ENSG00000057019",42584.8693721492,1.09862703696696,0.0866763696460953,3.24365276148436e-38,4.71729542659662e-35,"DCBLD2","protein_coding"
"ENSG00000089041",8049.68377907351,-1.84843244893098,0.14555830539551,8.04080799682984e-38,1.11091803284201e-34,"P2RX7","protein_coding"
"ENSG00000047634",540.67869888973,4.06742077021423,0.329860109895807,4.6031208350262e-36,6.05683023397352e-33,"SCML1","protein_coding"
"ENSG00000259417",104.736920798982,-3.48834128760356,0.28677233968049,1.61464750905764e-35,2.0279972713764e-32,"CTXND1","protein_coding"
"ENSG00000100504",23625.3607401033,0.635960176144613,0.0521934622530598,1.13697339038356e-34,1.36594994448167e-31,"PYGL","protein_coding"
"ENSG00000177570",184.320326394584,4.08608230601866,0.348903443477763,5.76599124326977e-33,6.6385779180846e-30,"SAMD12","protein_coding"
"ENSG00000146530",63.5111840383479,5.94019184788548,0.507740272470515,1.022246556754e-32,1.12986867424906e-29,"VWDE","protein_coding"
"ENSG00000127252",793.19033496121,3.96682306633045,0.340524825847929,1.21497745909502e-32,1.29124065960437e-29,"PLAAT1","protein_coding"
"ENSG00000235782",521.619937389986,5.09342025257701,0.440363799452906,3.2583985059899e-32,3.33466916731529e-29,"AL031429.1","lncRNA"
"ENSG00000170624",5890.69203448601,-0.799629944038413,0.068949460538583,1.00123445313735e-31,9.88075371753258e-29,"SGCD","protein_coding"
"ENSG00000273032",40.830357392897,-2.98000466008157,0.263077480118984,4.02458885600947e-31,3.83473928514668e-28,"DGCR5","lncRNA"
"ENSG00000184254",11912.0876118033,-1.79825205714536,0.158521867180669,6.62412429866748e-31,6.10126008735932e-28,"ALDH1A3","protein_coding"
"ENSG00000233535",46.7032208635674,-2.21854046855135,0.201238059515821,1.91857931775524e-29,1.71013495832944e-26,"AC003035.2","lncRNA"
"ENSG00000122420",116.056203837557,8.18059962808449,0.740846181065659,4.02854695937108e-29,3.47865029941693e-26,"PTGFR","protein_coding"
"ENSG00000183044",829.428779995786,-0.934179996528164,0.0848620380321189,6.34000774878653e-29,5.30869982165059e-26,"ABAT","protein_coding"
"ENSG00000273706",625.19340591351,-1.10188891491111,0.101260732778715,1.80529277292822e-28,1.46717205592801e-25,"LHX1","protein_coding"
"ENSG00000264340",102.862816636359,4.34154153612639,0.40292679751348,2.62994921017648e-28,2.07630733073132e-25,"AC009704.1","lncRNA"
"ENSG00000109321",782.863298879019,7.04406531644434,0.655602546370826,3.29799461087137e-28,2.5313940857666e-25,"AREG","protein_coding"
"ENSG00000110931",2550.37630607878,-0.337967693774813,0.0308738976675896,4.00263650750016e-28,2.98921221554715e-25,"CAMKK2","protein_coding"
"ENSG00000179855",41.2306293575145,-5.65758876958319,0.526571029581979,4.13476046829125e-28,3.00662371736378e-25,"GIPC3","protein_coding"
"ENSG00000101096",8347.21023354833,-1.98504615681316,0.185468674668806,6.25871768782865e-28,4.43438172179695e-25,"NFATC2","protein_coding"
"ENSG00000172817",3163.58022043206,-1.03755283781817,0.0963180401703112,6.7640776096197e-28,4.67262481272529e-25,"CYP7B1","protein_coding"
"ENSG00000215014",191.692226149427,1.16305366303087,0.108249265394057,6.98036163506186e-28,4.70442323658608e-25,"AL645728.1","lncRNA"
"ENSG00000113749",153.929262521571,-4.59923298060361,0.435563076898421,2.23978114820132e-27,1.47356268302617e-24,"HRH2","protein_coding"
"ENSG00000230490",496.89335693349,-1.01303271276107,0.0952511892817958,2.84623411458403e-27,1.8290032803299e-24,"AL139383.1","lncRNA"
"ENSG00000167755",162.002068284634,1.63933725827144,0.155718802749493,5.6377329188359e-27,3.54049627302895e-24,"KLK6","protein_coding"
"ENSG00000081189",2815.29138666474,-0.833150688101535,0.0786881411959197,6.4760606454713e-27,3.97658906123695e-24,"MEF2C","protein_coding"
"ENSG00000241280",91.8770616644049,1.32101912638849,0.125558988260108,7.88126380866858e-27,4.73424090350283e-24,"AC106712.1","lncRNA"
"ENSG00000076513",2888.37026719572,-0.511180077840316,0.0480562548311975,8.05680811603747e-27,4.73671748643292e-24,"ANKRD13A","protein_coding"
"ENSG00000178162",10.7924991174226,6.21956030584051,0.732966829699345,1.71142416957135e-26,9.85209846949907e-24,"FAR2P2","transcribed_unprocessed_pseudogene"
"ENSG00000154654",43.7522207408403,2.55212903557368,0.245958611909005,1.98013203637986e-26,1.1166328250867e-23,"NCAM2","protein_coding"
"ENSG00000088538",334.751330300373,3.29193943792618,0.320044158775308,4.72390746036447e-26,2.61062021889582e-23,"DOCK3","protein_coding"
"ENSG00000115594",220.34884220644,-3.03574602060142,0.29708693978593,8.01038165501207e-26,4.34005619394693e-23,"IL1R1","protein_coding"
"ENSG00000154928",1328.60882394019,-4.47703396267305,0.441403522614804,1.67539660314292e-25,8.90279979577793e-23,"EPHB1","protein_coding"
"ENSG00000135821",162.212681259555,-3.82863738088649,0.378332163815587,2.08513223303595e-25,1.08710139364621e-22,"GLUL","protein_coding"
"ENSG00000148488",614.116888436965,-1.55939103661663,0.154398476683287,4.27314046612817e-25,2.18658180296395e-22,"ST8SIA6","protein_coding"
"ENSG00000109255",9.39838521199144,-5.8966232489084,0.719205516709972,4.55734570449165e-25,2.28961048193661e-22,"NMU","protein_coding"
"ENSG00000226134",23.8369769796938,3.50225509609678,0.349184292497959,9.08608345307039e-25,4.48333317812931e-22,"AL359502.1","lncRNA"
"ENSG00000198743",2643.39147004418,-1.32557351540859,0.132419854033041,1.36125646929312e-24,6.59898925605393e-22,"SLC5A3","protein_coding"
"ENSG00000174473",17.6711572155952,2.85094971722447,0.286386895463322,1.6170638644564e-24,7.70391529356192e-22,"GALNTL6","protein_coding"
"ENSG00000214146",76.9315478380816,1.20686019522108,0.121278693352639,2.80588450764592e-24,1.31410509686902e-21,"LINC02026","lncRNA"
"ENSG00000261645",301.19600703938,8.09973944472232,0.822770331120222,3.33844866316431e-24,1.53746689100927e-21,"DISC1FP1","lncRNA"
"ENSG00000163870",3490.41200945318,0.774289302689555,0.0777892790230298,5.48781543212562e-24,2.48589042656549e-21,"TPRA1","protein_coding"
"ENSG00000172458",570.274808009846,-1.02575367791344,0.103733213885444,6.79595739653186e-24,3.02880475453175e-21,"IL17D","protein_coding"
